T_values,mean_theta_diffs,ci_theta_diffs,mean_l2_errors,ci_l2_errors,mean_p_diffs,ci_p_diffs,mean_regrets,ci_regrets
100,0.5946857245776039,0.07052519101441299,0.00014194995748405517,1.0376375003544766e-05,0.5557979484220734,0.124156393983958,20.102422338826486,5.120065775035057
200,0.3448202400898361,0.02953900254134185,9.400636432757971e-05,8.323081124498986e-06,0.3688600893211542,0.051844157133175285,25.263491863746538,3.5603591208594536
400,0.25455475934925825,0.017789904549249367,6.883792313013519e-05,6.057715478317378e-06,0.2482079139689215,0.03387321019606359,30.078910180155194,2.490524007237184
800,0.19686446114110875,0.01858058556592292,4.721753305019813e-05,3.2395054998361564e-06,0.23285676351087042,0.02999988807576117,48.466147487935025,3.5266202651960423
1600,0.15552172376113557,0.0109927843595695,3.0469431990819594e-05,2.3612956188732238e-06,0.1977261472821822,0.027755494616831623,80.50432466839163,7.146725938043181
